round_epochs,val_loss,val_acc,loss,acc,activation,first_neuron,optimizer,losses,hidden_layers,batch_size,epochs
100,0.6116505350385394,0.7142857142857143,0.11747195140311592,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,40,100
100,0.6171545074099586,0.7619047732580275,0.13049654741036265,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,40,100
10,0.6212509302865892,0.7142857142857143,0.5463341145138991,0.736842111537331,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,20,10
100,0.6771034342902047,0.6904761847995576,0.06694593574655683,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,20,100
100,0.6797208729244414,0.666666655313401,0.06692548096179962,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,20,100
10,0.6675251154672532,0.5952380952380952,0.5857810754525034,0.8210526234225223,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,40,10
100,0.6229519219625563,0.6904761847995576,0.06902403776582919,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,2,20,100
100,0.608601260752905,0.690476207506089,0.13285920808189794,0.9894736848379436,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,20,100
10,0.6545971972601754,0.7142857142857143,0.5726291725510045,0.7157894718019586,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,0,20,10
100,0.6468650499979655,0.7380952153887067,0.1685498192122108,0.9789473884984067,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,40,100
100,0.6192176512309483,0.6904761961528233,0.17459990868442937,0.9789473696758872,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,30,100
100,0.6840537843250093,0.666666655313401,0.06846958261571433,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,20,100
100,0.6208869729723249,0.7142857313156128,0.13438175736289276,1.0,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,30,100
100,0.6380540728569031,0.7142857313156128,0.1271091989780727,1.0,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,30,100
100,0.6466576826004755,0.6904762131827218,0.1299555552633185,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,2,40,100
100,0.6625235080718994,0.6666666524750846,0.17378818126101242,0.989473675426684,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,0,30,100
10,0.675330400466919,0.6666666865348816,0.5688018312579707,0.736842111537331,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,0,30,10
100,0.6444346620922997,0.6904761847995576,0.07306926422997524,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,20,100
10,0.6691879119191851,0.5714285969734192,0.6428659087733218,0.6631579054029364,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,30,10
10,0.6591669235910688,0.6428571598870414,0.5652196423003548,0.7473684266993874,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,30,10
100,0.6251773493630546,0.6904761847995576,0.14434559251132764,0.989473681700857,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,20,100
100,0.6784012147358486,0.6904761961528233,0.12007468938827515,1.0,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,30,100
100,0.5890257017953056,0.7142857142857143,0.21157222672512657,0.9578947519001207,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,0,40,100
10,0.7120185324123928,0.5952381065913609,0.5457313562694349,0.7473684172881278,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,30,10
10,0.6324425538380941,0.6428571258272443,0.5708238325620952,0.7578947418614438,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,20,10
10,0.6218197118668329,0.6904761847995576,0.5479824056750849,0.7684210570235002,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,20,10
10,0.5935610930124918,0.7142857369922456,0.5709556435283861,0.7684210382009807,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,40,10
100,0.6424466428302583,0.6666666836965651,0.06809148212012492,1.0,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,20,100
10,0.6291577929542178,0.666666655313401,0.5216488367632816,0.8105263176717257,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,40,10
10,0.6442359629131499,0.6904761791229248,0.5652781819042406,0.7789473565001237,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,2,40,10
10,0.6595802420661563,0.666666655313401,0.5912805638815227,0.7578947293130975,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,40,10
10,0.6471428871154785,0.6904761847995576,0.5581621464930082,0.8105263270829853,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,20,10
100,0.6327378011885143,0.6904762131827218,0.13804695245466733,1.0,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,40,100
10,0.6614004515466236,0.6428571258272443,0.6133237230150324,0.7789473753226431,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,20,10
100,0.6014411052068075,0.7142857142857143,0.07513769794451564,1.0,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,20,100
10,0.6253673093659537,0.6904761961528233,0.5422736657293219,0.7578947512727034,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,30,10
10,0.6336918161028907,0.6904761791229248,0.5633575477098164,0.7999999962354961,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,2,20,10
100,0.6205191356795174,0.6904761961528233,0.11616652302051846,1.0,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,30,100
100,0.6254573804991586,0.6904761961528233,0.2004689401701877,0.9684210451025712,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,30,100
10,0.6327359562828427,0.6904761847995576,0.4976749545649478,0.789473693621786,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,20,10
10,0.6361485662914458,0.7380952153887067,0.5637042334205226,0.7789473847339028,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,40,10
100,0.6252534162430536,0.7380952153887067,0.13576679559130417,0.9894736942492033,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,40,100
