round_epochs,val_loss,val_acc,loss,acc,activation,first_neuron,optimizer,losses,hidden_layers,batch_size,epochs
10,0.6740101490701947,0.6904761791229248,0.6061459622885051,0.7368421178115042,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,20,10
10,0.6366933243615287,0.6904761791229248,0.6545765682270652,0.6736842048795599,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,20,10
10,0.6918969324656895,0.5952380838848296,0.6170910847814459,0.6842105200416163,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,40,10
10,0.6940631866455078,0.4761904903820583,0.662086800525063,0.7263157806898418,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,20,10
10,0.6195263522011893,0.6428571542104086,0.6095755413958901,0.6842105231787029,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,0,20,10
10,0.6294303508031935,0.6904761847995576,0.5778655692150718,0.7578947418614438,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,20,10
10,0.6599322841280982,0.5714285600753057,0.6304214220297965,0.6526315776925338,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,40,10
10,0.5846059918403625,0.7380952324186053,0.5508830955154017,0.747368407876868,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,30,10
100,0.45199782507760183,0.8571428401129586,0.22863119997476278,0.9578947393517745,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,30,100
10,0.5921748677889506,0.7619047675813947,0.5787307808273717,0.6842105294528761,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,20,10
10,0.6114878626096816,0.7380952380952381,0.6192562925188165,0.6736842237020794,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,2,40,10
100,0.4745677539280483,0.8095238322303409,0.0833456794682302,0.9894736848379436,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,20,100
10,0.5992755975042071,0.6904761876378741,0.5744952402616802,0.7263157963752747,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,1,30,10
100,0.4441036894207909,0.8095237981705439,0.22193299233913422,0.9578947581742939,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,40,100
10,0.5760463532947359,0.7380952608017695,0.6057743492879366,0.747368407876868,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,40,10
10,0.6256387233734131,0.7142857369922456,0.590616900669901,0.6947368603003653,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,40,10
100,0.45916607124464853,0.8095238208770752,0.2228962120256926,0.9473684147784585,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,30,100
100,0.5234688293366205,0.7380952380952381,0.14846254885196686,0.9894736942492033,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,40,100
10,0.6529276030404227,0.7142857313156128,0.6085510442131444,0.736842111537331,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,2,30,10
10,0.5859839575631278,0.7619047675813947,0.5852465896229995,0.7157894812132183,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,30,10
10,0.6462696875844683,0.5952381151063102,0.6193673359720331,0.6842105169045297,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,30,10
10,0.6025245076134091,0.7142857142857143,0.5529594954691435,0.7368421084002444,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,20,10
10,0.6072707232974824,0.7380952380952381,0.564933999588615,0.7157894812132183,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,20,10
100,0.4170432885487874,0.8333333276567005,0.12824855980120206,0.989473681700857,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,20,100
100,0.4587294544492449,0.8095237981705439,0.24304659429349398,0.9578947519001207,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,40,100
10,0.6177896317981538,0.7619047391982305,0.6134299792741474,0.7578947481356169,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,1,40,10
100,0.4417949744633266,0.8571428571428571,0.0822665569813628,0.9894736848379436,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,20,100
100,0.4802563814889817,0.8095238208770752,0.07656751435838248,0.9894736848379436,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,20,100
