round_epochs,val_loss,val_acc,loss,acc,activation,first_neuron,optimizer,losses,hidden_layers,batch_size,epochs
100,0.5535246559551784,0.7142857369922456,0.2363990466845663,0.9473684273268047,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,2,40,100
100,0.6762762580599103,0.6904761791229248,0.20633044289915184,0.9789473696758872,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,0,30,100
10,0.6103637559073312,0.6904761961528233,0.5937124114287528,0.7157894702334153,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,0,30,10
100,0.5780125771250043,0.7142857369922456,0.14472669284594686,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,40,100
10,0.5981520471118745,0.7857142913909185,0.5665503410916579,0.7473684235623008,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,1,20,10
10,0.6528593216623578,0.6190476190476191,0.5740084067771309,0.7684210538864136,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,40,10
100,0.6064696595782325,0.6904761791229248,0.06648254002395429,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,20,100
100,0.641040461403983,0.6904761791229248,0.06599148362874985,1.0,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,0,20,100
10,0.6606715889204116,0.6666666496367681,0.4932147295851457,0.7894736779363531,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,20,10
10,0.6290537118911743,0.5952381179446266,0.5733660271293238,0.7578947355872706,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,1,40,10
100,0.5784187316894531,0.7380952494485038,0.20830967394929184,0.989473675426684,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,30,100
10,0.6546920112201146,0.6190476332392011,0.6076211458758304,0.694736858731822,<function linear at 0x7fedd61ae400>,12,Adam,binary_crossentropy,2,30,10
10,0.6450106302897135,0.6904761791229248,0.5885752533611498,0.7157894545479825,<function linear at 0x7fedd61ae400>,24,Adam,binary_crossentropy,2,40,10
10,0.6042105016254243,0.7380952380952381,0.5798880708845038,0.7473684235623008,<function relu at 0x7fedd61ae158>,24,Adam,binary_crossentropy,0,40,10
10,0.6993092383657183,0.5,0.6144689101921884,0.7157894623906988,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,1,30,10
10,0.6648775821640378,0.6428571201506115,0.6257658412581996,0.7157894718019586,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,40,10
10,0.6644743453888666,0.5714285600753057,0.6153202370593422,0.6947368508891055,<function tanh at 0x7fedd61ae1e0>,12,Adam,binary_crossentropy,1,40,10
10,0.6396399566105434,0.7142857313156128,0.6079783533748827,0.7789473659113834,<function relu at 0x7fedd61ae158>,12,Adam,binary_crossentropy,2,20,10
10,0.6385277083941868,0.6904761791229248,0.5268201937800959,0.768421050749327,<function tanh at 0x7fedd61ae1e0>,24,Adam,binary_crossentropy,0,20,10
